Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Pray For Me,"The Weeknd, Kendrick Lamar","Kendrick Duckworth, Abel Tesfaye, A. Feeney & M. MCKINNEY",Black Panther The Album Music From And Inspired By,,,,,,Hip-Hop/Rap,7487582,211,1,1,14,,2018,"7/20/18, 7:38 PM","7/20/18, 7:38 PM",256,44100,,Apple Music AAC audio file,,,95,"6/28/21, 10:27 PM",4,"2/21/19, 9:55 AM",,
Heathens (feat. MUTEMATH),twenty one pilots,Tyler Joseph,TOPxMM - EP,,,,,,Alternative,9790143,274,1,1,1,5,2016,"8/13/18, 12:22 AM","8/13/18, 12:22 AM",256,44100,,Apple Music AAC audio file,,,48,"6/28/21, 10:31 PM",1,"3/20/21, 5:51 PM",,
Devil in Me (feat. Joe Killington & Duane Harden),Purple Disco Machine,,Soulmatic,,,,,,House,7162885,199,1,1,5,13,2017,"8/13/18, 12:22 AM","8/13/18, 12:22 AM",256,44100,,Apple Music AAC audio file,,,82,"6/28/21, 10:34 PM",,,,
Pray For Me,"The Weeknd, Kendrick Lamar","Kendrick Duckworth, Abel Tesfaye, A. Feeney & M. MCKINNEY",Black Panther The Album Music From And Inspired By,,,,,,Hip-Hop/Rap,7487582,211,1,1,14,,2018,"7/20/18, 7:38 PM","7/20/18, 7:38 PM",256,44100,,Apple Music AAC audio file,,,95,"6/28/21, 10:27 PM",4,"2/21/19, 9:55 AM",,
Sunny,Bobby Hebb,Bobby Hebb,Sunny,,,,,,Pop,6700978,165,1,1,1,12,1966,"8/22/18, 3:45 PM","8/22/18, 3:45 PM",256,44100,,Apple Music AAC audio file,,,57,"6/4/21, 10:45 PM",2,"1/24/19, 9:53 AM",,
Bread,Bobby Hebb,Renzetti & Ross,Sunny,,,,,,Pop,6004072,145,1,1,11,12,1966,"8/22/18, 3:47 PM","8/22/18, 3:47 PM",256,44100,,Apple Music AAC audio file,,,49,"6/4/21, 10:48 PM",2,"1/24/19, 7:10 PM",,
Love Me Again,John Newman,John Newman & Steve Booker,Tribute,,,,,,Pop,8463588,239,1,1,2,10,2013,"8/30/18, 5:48 AM","8/30/18, 5:48 AM",256,44100,,Apple Music AAC audio file,,,51,"6/4/21, 10:52 PM",,,,
Africa,Weezer,David Paich & Jeffrey Porcaro,Weezer (Teal Album),,,,,,Alternative,8742052,238,1,1,1,10,2018,"8/30/18, 12:17 AM","8/30/18, 12:17 AM",256,44100,,Apple Music AAC audio file,,,98,"6/4/21, 10:56 PM",,,,
Believer,Imagine Dragons,"Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson & Justin Drew Tranter",Evolve,,,,,,Alternative,7544988,204,1,1,4,12,2017,"8/30/18, 1:52 PM","8/30/18, 1:52 PM",256,44100,,Apple Music AAC audio file,,,45,"6/4/21, 10:59 PM",3,"5/22/20, 4:33 PM",,
Thunder,Imagine Dragons,"Jayson Dezuzio, Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman & A. Grant",Evolve,,,,,,Alternative,6991910,187,1,1,10,12,2018,"8/30/18, 1:58 PM","8/30/18, 1:58 PM",256,44100,,Apple Music AAC audio file,,,38,"6/4/21, 11:02 PM",2,"6/15/19, 3:58 PM",,
Bad at Love,Halsey,"Ashley Frangipane, Roget Chahayed, Eric Frederic & Justin Tranter",hopeless fountain kingdom (Deluxe),,,,,,Alternative,6595436,181,1,1,11,16,2017,"11/3/17, 5:14 PM","11/3/17, 5:14 PM",256,44100,,Apple Music AAC audio file,,,79,"6/4/21, 11:05 PM",1,"3/20/21, 5:55 PM",,
